config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
fd_slow_sync_repl,fd_slow_sync_repl_t5_1776228363364,200,600,sync,crash,457,0,147.0,374.0,445.05999999999995,83.55382258738337,600,600,0,0,167
phi_delay_fast_sync,phi_delay_fast_sync_t1_1776228855822,50,150,sync,delay,,5,161.0,385.0,432.02,72.21085569864003,600,600,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t2_1776228878027,50,150,sync,delay,,11,164.0,386.14999999999986,474.57999999999856,72.29786721291723,600,600,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t3_1776228900221,50,150,sync,delay,,4,164.5,412.0,465.0799999999999,72.51631617113851,600,600,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t4_1776228922445,50,150,sync,delay,,12,164.0,393.1999999999998,472.01,72.29786721291723,600,600,0,0,0
phi_delay_fast_sync,phi_delay_fast_sync_t5_1776228944668,50,150,sync,delay,,12,178.0,450.0999999999999,529.0999999999999,72.32401157184185,600,600,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t1_1776229622714,200,600,async,delay,,2,198.0,310.0,384.6799999999994,83.53055826256438,600,600,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t2_1776228989101,200,600,async,delay,,1,127.0,225.04999999999995,290.04999999999995,71.83908045977012,600,600,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t3_1776229011346,200,600,async,delay,,7,130.0,248.04999999999995,314.03,71.76175098672407,600,600,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t4_1776229033536,200,600,async,delay,,11,128.0,209.0,249.01,73.40347443112307,600,600,0,0,0
phi_delay_slow_async,phi_delay_slow_async_t5_1776229055764,200,600,async,delay,,13,117.0,176.04999999999995,235.12999999999988,72.94832826747721,600,600,0,0,0
phi_fast_async_repl,phi_fast_async_repl_t1_1776228804470,50,150,async,crash,52,1,156.0,219.04999999999995,273.04999999999995,73.52941176470588,600,600,0,0,203
phi_fast_async_repl,phi_fast_async_repl_t2_1776228814744,50,150,async,crash,80,0,155.0,213.04999999999995,271.1099999999999,72.90400972053463,600,600,0,0,191
phi_fast_async_repl,phi_fast_async_repl_t3_1776228825006,50,150,async,crash,42,13,159.0,232.0,295.0899999999999,74.04664938911515,600,600,0,0,175
phi_fast_async_repl,phi_fast_async_repl_t4_1776228835280,50,150,async,crash,62,0,160.0,297.3499999999997,373.02,73.25112928824319,600,600,0,0,195
phi_fast_async_repl,phi_fast_async_repl_t5_1776228845550,50,150,async,crash,44,7,152.0,212.04999999999995,270.0,73.1618095354225,600,600,0,0,176
phi_fast_no_repl,phi_fast_no_repl_t1_1776228649041,50,150,none,crash,50,1,135.5,179.0,229.2099999999998,83.02200083022001,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t2_1776228659286,50,150,none,crash,87,2,132.0,187.04999999999995,238.04999999999995,83.02200083022001,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t3_1776228669531,50,150,none,crash,74,8,134.0,224.14999999999986,297.17999999999984,82.97607523164154,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t4_1776228679767,50,150,none,crash,63,6,131.0,183.14999999999986,244.08999999999992,83.10249307479225,600,600,0,0,0
phi_fast_no_repl,phi_fast_no_repl_t5_1776228690014,50,150,none,crash,-49,0,129.0,178.0,227.02999999999997,82.66740148801323,600,600,0,0,0
phi_fast_sync_repl,phi_fast_sync_repl_t1_1776228753249,50,150,sync,crash,57,10,151.0,379.14999999999986,465.04999999999995,83.02200083022001,600,600,0,0,172
phi_fast_sync_repl,phi_fast_sync_repl_t2_1776228763496,50,150,sync,crash,87,3,152.0,360.14999999999986,461.1099999999999,82.86148322054966,600,600,0,0,173
phi_fast_sync_repl,phi_fast_sync_repl_t3_1776228773751,50,150,sync,crash,30,9,154.0,390.04999999999995,466.02,77.14065312419646,600,600,0,0,174
phi_fast_sync_repl,phi_fast_sync_repl_t4_1776228783928,50,150,sync,crash,52,9,147.5,297.1999999999998,398.0899999999999,75.18796992481202,600,600,0,0,188
phi_fast_sync_repl,phi_fast_sync_repl_t5_1776228794202,50,150,sync,crash,97,1,158.0,387.0,480.0999999999999,74.09236848604593,600,600,0,0,193
phi_slow_no_repl,phi_slow_no_repl_t1_1776228700151,200,600,none,crash,446,11,130.0,204.04999999999995,260.0899999999999,83.51893095768374,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t2_1776228710775,200,600,none,crash,463,1,134.0,182.04999999999995,213.02999999999997,82.86148322054966,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t3_1776228721397,200,600,none,crash,450,8,132.0,208.04999999999995,269.1299999999999,83.77548170901983,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t4_1776228732001,200,600,none,crash,446,2,131.0,180.0,226.06999999999994,83.93956351426974,600,600,0,0,0
phi_slow_no_repl,phi_slow_no_repl_t5_1776228742631,200,600,none,crash,469,8,134.0,179.04999999999995,241.01,83.10249307479225,600,600,0,0,0
