config,n_trials,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms_median,detection_latency_ms_iqr,detection_latency_ms_min,detection_latency_ms_max,downtime_ms_median,downtime_ms_iqr,downtime_ms_min,downtime_ms_max,write_latency_median_us_median,write_latency_median_us_iqr,write_latency_median_us_min,write_latency_median_us_max,write_latency_p95_us_median,write_latency_p95_us_iqr,write_latency_p95_us_min,write_latency_p95_us_max,throughput_ops_sec_median,throughput_ops_sec_iqr,throughput_ops_sec_min,throughput_ops_sec_max,false_positives_median,false_positives_iqr,false_positives_min,false_positives_max,repl_skipped_count_median,repl_skipped_count_iqr,repl_skipped_count_min,repl_skipped_count_max,stale_read_count_median,stale_read_count_iqr,stale_read_count_min,stale_read_count_max,stale_read_rate_median,stale_read_rate_iqr,stale_read_rate_min,stale_read_rate_max,hot_key_latency_median_us_median,hot_key_latency_median_us_iqr,hot_key_latency_median_us_min,hot_key_latency_median_us_max,cold_key_latency_median_us_median,cold_key_latency_median_us_iqr,cold_key_latency_median_us_min,cold_key_latency_median_us_max,missed,fd_algo,phi_threshold,workload_zipf_alpha
phi_fast_async_repl,5,50,150,async,crash,52.0,18.0,42.0,80.0,1.0,7.0,0.0,13.0,156.0,4.0,152.0,160.0,219.04999999999995,18.950000000000045,212.04999999999995,297.3499999999997,73.25112928824319,0.3676022292833778,72.90400972053463,74.04664938911515,0.0,0.0,0.0,0.0,191.0,19.0,175.0,203.0,252.0,23.0,239.0,263.0,0.8375796178343949,0.04032187527333153,0.8101694915254237,0.8873239436619719,162.0,8.0,155.0,168.5,155.0,5.0,151.0,160.0,3.0,phi,8.0,0.0
phi_fast_no_repl,5,50,150,none,crash,63.0,24.0,-49.0,87.0,2.0,5.0,0.0,8.0,132.0,3.0,129.0,135.5,183.14999999999986,8.049999999999955,178.0,224.14999999999986,83.02200083022001,0.04592559857846368,82.66740148801323,83.10249307479225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,10.0,240.0,259.0,0.8415841584158416,0.04389040384365672,0.8053691275167785,0.875,131.5,1.0,126.0,135.0,132.0,3.0,128.0,135.5,3.0,phi,8.0,0.0
phi_fast_sync_repl,5,50,150,sync,crash,57.0,35.0,30.0,97.0,9.0,6.0,1.0,10.0,152.0,3.0,147.5,158.0,379.14999999999986,26.850000000000136,297.1999999999998,390.04999999999995,77.14065312419646,7.673513295737635,74.09236848604593,83.02200083022001,0.0,0.0,0.0,0.0,174.0,15.0,172.0,193.0,249.0,1.0,222.0,258.0,0.8403908794788274,0.011818674862153156,0.7708333333333334,0.867595818815331,150.5,15.0,134.0,161.0,151.0,6.5,151.0,159.0,3.0,phi,8.0,0.0
phi_slow_no_repl,5,200,600,none,crash,450.0,17.0,446.0,469.0,8.0,6.0,1.0,11.0,132.0,3.0,130.0,134.0,182.04999999999995,24.049999999999955,179.04999999999995,208.04999999999995,83.51893095768374,0.672988634227579,82.86148322054966,83.93956351426974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,17.0,232.0,261.0,0.8103448275862069,0.014981479242462514,0.7774193548387097,0.84,133.0,2.5,129.0,136.0,132.0,2.0,131.0,134.0,3.0,phi,8.0,0.0
quick_no_repl,2,100,300,none,crash,209.0,6.0,203.0,215.0,10.5,7.5,3.0,18.0,173.75,9.75,164.0,183.5,275.5,28.05000000000001,247.45,303.54999999999995,42.51949714186543,0.3254043148612098,42.19409282700422,42.844901456726646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,5.0,148.0,158.0,176.5,10.5,166.0,187.0,3.0,fixed,,0.0
quick_sync_repl,2,100,300,sync,crash,195.0,5.0,190.0,200.0,10.5,5.5,5.0,16.0,233.75,5.75,228.0,239.5,500.55,7.5,493.05,508.05,42.23064100513206,0.1961727411555927,42.034468263976464,42.42681374628765,0.0,0.0,0.0,0.0,2.5,0.5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.5,96.5,245.0,438.0,224.5,9.5,215.0,234.0,3.0,fixed,,0.0
zipf_fast_async,5,50,150,async,crash,105.0,40.0,94.0,149.0,2.0,3.0,2.0,5.0,140.5,2.0,139.0,146.0,229.04999999999973,4.0,225.0,251.0,293.21930360415394,0.6084878688696449,292.50457038391227,293.4344051840078,0.0,0.0,0.0,0.0,751.0,14.0,738.0,754.0,920.0,7.0,888.0,934.0,0.7764606265876376,0.00984488742214995,0.7622317596566524,0.7815899581589958,140.0,0.0,139.0,147.0,141.0,7.0,137.0,145.0,3.0,fixed,8.0,0.99
zipf_fast_sync,5,50,150,sync,crash,146.0,10.0,102.0,153.0,0.0,2.0,0.0,2.0,107.0,41.0,82.0,135.0,277.0,86.04999999999973,208.0,377.0,300.1500750375187,2.937541097329813,296.00394671928956,302.7245206861756,0.0,0.0,0.0,0.0,707.0,18.0,700.0,736.0,948.0,27.0,924.0,978.0,0.7880299251870324,0.022332506203473934,0.761747732893652,0.8062654575432812,105.0,42.0,81.0,135.0,109.0,42.0,82.0,135.0,3.0,fixed,8.0,0.99
zipf_phi_async,5,50,150,async,crash,38.0,36.0,28.0,95.0,0.0,2.0,0.0,2.0,141.5,2.0,133.0,149.0,236.04999999999973,11.0,234.0,272.0,291.970802919708,1.2427367216687912,290.9796314258002,294.33406916850623,0.0,0.0,0.0,0.0,744.0,31.0,729.0,770.0,953.0,26.0,899.0,957.0,0.7748987854251013,0.01396979812835264,0.7581543357199682,0.7928748964374482,143.0,2.0,133.0,149.0,140.0,2.0,133.0,149.0,3.0,phi,8.0,0.99
zipf_phi_sync,5,50,150,sync,crash,88.0,12.0,57.0,93.0,2.0,1.0,0.0,2.0,143.0,1.0,141.0,146.0,404.0,4.049999999999727,385.0499999999997,408.0,294.94899840235956,1.5508455534553605,291.8997810751642,296.1135101789019,0.0,0.0,0.0,0.0,740.0,12.0,689.0,748.0,936.0,13.0,934.0,962.0,0.7772317772317773,0.00946159960803683,0.7741935483870968,0.7962489343563512,143.0,3.0,139.0,145.0,145.0,1.0,142.0,147.0,3.0,phi,8.0,0.99
