config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
fd_mixed_i200_t150_sync_repl,fd_mixed_i200_t150_sync_repl_t2_1776262692020,200,150,sync,crash,,0,194.0,482.04999999999995,600.8899999999992,82.99903167796376,600,600,0,1,217
fd_mixed_i200_t150_sync_repl,fd_mixed_i200_t150_sync_repl_t3_1776262712196,200,150,sync,crash,,2,172.5,383.0,490.04999999999995,83.65867261572784,600,600,0,1,207
fd_mixed_i200_t150_sync_repl,fd_mixed_i200_t150_sync_repl_t4_1776262732356,200,150,sync,crash,,2,173.5,436.1999999999998,578.0699999999999,83.55382258738337,600,600,0,1,228
fd_mixed_i200_t150_sync_repl,fd_mixed_i200_t150_sync_repl_t5_1776262752552,200,150,sync,crash,,8,174.0,394.1999999999998,545.05,83.29862557267805,600,600,0,1,218
fd_mixed_i50_t600_async_repl,fd_mixed_i50_t600_async_repl_t1_1776262980812,50,600,async,crash,564,1,223.0,337.04999999999995,516.02,83.02200083022001,600,600,0,0,164
fd_mixed_i50_t600_async_repl,fd_mixed_i50_t600_async_repl_t2_1776262991549,50,600,async,crash,561,7,218.0,338.0,439.03999999999996,82.91873963515755,600,600,0,0,145
fd_mixed_i50_t600_async_repl,fd_mixed_i50_t600_async_repl_t3_1776263002273,50,600,async,crash,571,6,184.0,318.14999999999986,437.4099999999996,83.04498269896195,600,600,0,0,150
fd_mixed_i50_t600_async_repl,fd_mixed_i50_t600_async_repl_t4_1776263013016,50,600,async,crash,560,12,163.0,316.14999999999986,484.2299999999998,82.930200414651,600,600,0,0,151
fd_mixed_i50_t600_async_repl,fd_mixed_i50_t600_async_repl_t5_1776263023756,50,600,async,crash,599,11,182.0,360.49999999999955,488.8799999999992,83.32176086654631,600,600,0,0,147
fd_mixed_i50_t600_no_repl,fd_mixed_i50_t600_no_repl_t1_1776262873510,50,600,none,crash,587,2,176.0,290.0,498.05999999999995,82.74720728175424,600,600,0,0,0
fd_mixed_i50_t600_no_repl,fd_mixed_i50_t600_no_repl_t2_1776262884229,50,600,none,crash,574,1,157.0,291.14999999999986,420.4299999999996,83.11400470979359,600,600,0,0,0
fd_mixed_i50_t600_no_repl,fd_mixed_i50_t600_no_repl_t3_1776262894941,50,600,none,crash,573,9,149.0,259.3499999999997,412.3099999999997,82.89582757667864,600,600,0,0,0
fd_mixed_i50_t600_no_repl,fd_mixed_i50_t600_no_repl_t4_1776262905670,50,600,none,crash,560,10,171.0,282.04999999999995,478.2099999999998,82.91873963515755,600,600,0,0,0
fd_mixed_i50_t600_no_repl,fd_mixed_i50_t600_no_repl_t5_1776262916395,50,600,none,crash,550,7,193.0,320.14999999999986,419.01,83.31019161344071,600,600,0,0,0
fd_mixed_i50_t600_sync_repl,fd_mixed_i50_t600_sync_repl_t1_1776262927120,50,600,sync,crash,559,8,241.0,498.2999999999997,652.1399999999999,83.12551953449709,600,600,0,0,161
fd_mixed_i50_t600_sync_repl,fd_mixed_i50_t600_sync_repl_t2_1776262937866,50,600,sync,crash,564,2,176.5,424.59999999999945,548.1699999999998,83.37965536409116,600,600,0,0,148
fd_mixed_i50_t600_sync_repl,fd_mixed_i50_t600_sync_repl_t3_1776262948596,50,600,sync,crash,577,4,191.0,471.3499999999997,763.6899999999957,83.01051466519093,600,600,0,0,147
fd_mixed_i50_t600_sync_repl,fd_mixed_i50_t600_sync_repl_t4_1776262959334,50,600,sync,crash,576,7,187.0,434.0999999999999,534.3399999999997,83.05647840531562,600,600,0,0,145
fd_mixed_i50_t600_sync_repl,fd_mixed_i50_t600_sync_repl_t5_1776262970075,50,600,sync,crash,567,6,225.5,489.04999999999995,545.2599999999998,83.56545961002786,600,600,0,0,164
fd_slow_async_repl,fd_slow_async_repl_t1_1776262518059,200,600,async,crash,418,2,180.0,299.04999999999995,512.8899999999983,83.1831415499792,600,600,0,0,154
fd_slow_async_repl,fd_slow_async_repl_t2_1776262528671,200,600,async,crash,408,1,179.5,263.0,311.1099999999999,83.86916410399776,600,600,0,0,152
fd_slow_async_repl,fd_slow_async_repl_t3_1776262539218,200,600,async,crash,438,8,172.0,272.1999999999998,337.1399999999999,83.65867261572784,600,600,0,0,157
fd_slow_async_repl,fd_slow_async_repl_t4_1776262549847,200,600,async,crash,435,4,156.0,247.04999999999995,320.05999999999995,82.90728202293768,600,600,0,0,150
fd_slow_async_repl,fd_slow_async_repl_t5_1776262560422,200,600,async,crash,426,0,193.0,333.0,425.0899999999999,83.49568605622044,600,600,0,0,166
fd_slow_no_repl,fd_slow_no_repl_t1_1776262309208,200,600,none,crash,458,7,141.0,209.0,256.15999999999985,83.50730688935282,600,600,0,0,0
fd_slow_no_repl,fd_slow_no_repl_t2_1776262319817,200,600,none,crash,432,11,145.0,233.04999999999995,263.1099999999999,83.05647840531562,600,600,0,0,0
fd_slow_no_repl,fd_slow_no_repl_t3_1776262330428,200,600,none,crash,436,1,155.5,281.0999999999999,347.16999999999985,83.86916410399776,600,600,0,0,0
fd_slow_no_repl,fd_slow_no_repl_t4_1776262341035,200,600,none,crash,420,9,188.0,375.14999999999986,928.1599999999999,83.22929671244279,600,600,0,0,0
fd_slow_no_repl,fd_slow_no_repl_t5_1776262351627,200,600,none,crash,439,9,192.0,325.04999999999995,480.60999999999945,83.14855875831485,600,600,0,0,0
fd_slow_sync_repl,fd_slow_sync_repl_t1_1776262464993,200,600,sync,crash,471,6,180.0,435.0999999999999,552.3099999999997,83.37965536409116,600,600,0,0,161
fd_slow_sync_repl,fd_slow_sync_repl_t2_1776262475606,200,600,sync,crash,452,8,172.0,436.0999999999999,547.0899999999999,83.58874338255782,600,600,0,0,150
fd_slow_sync_repl,fd_slow_sync_repl_t3_1776262486227,200,600,sync,crash,452,10,167.0,419.04999999999995,520.03,83.5421888053467,600,600,0,0,161
fd_slow_sync_repl,fd_slow_sync_repl_t4_1776262496845,200,600,sync,crash,431,4,225.0,505.14999999999986,559.0699999999999,83.79888268156425,600,600,0,0,165
fd_slow_sync_repl,fd_slow_sync_repl_t5_1776262507455,200,600,sync,crash,417,1,222.0,459.1999999999998,573.05,83.6703388648724,600,600,0,0,145
phi_delay_fast_sync,phi_delay_fast_sync_t1_1777060922934,50,150,sync,delay,100,1,259.5,616.0999999999999,719.5999999999995,78.24726134585289,600,600,0,0,174
phi_delay_fast_sync,phi_delay_fast_sync_t2_1777060933192,50,150,sync,delay,48,0,255.0,630.1499999999999,678.1299999999999,84.17508417508418,600,600,0,0,159
phi_delay_fast_sync,phi_delay_fast_sync_t3_1776263375769,50,150,sync,delay,64,515,190.0,432.04999999999995,641.4499999999987,77.63975155279503,600,600,0,0,164
