config,n_trials,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms_median,detection_latency_ms_iqr,detection_latency_ms_min,detection_latency_ms_max,downtime_ms_median,downtime_ms_iqr,downtime_ms_min,downtime_ms_max,write_latency_median_us_median,write_latency_median_us_iqr,write_latency_median_us_min,write_latency_median_us_max,write_latency_p95_us_median,write_latency_p95_us_iqr,write_latency_p95_us_min,write_latency_p95_us_max,throughput_ops_sec_median,throughput_ops_sec_iqr,throughput_ops_sec_min,throughput_ops_sec_max,false_positives_median,false_positives_iqr,false_positives_min,false_positives_max,repl_skipped_count_median,repl_skipped_count_iqr,repl_skipped_count_min,repl_skipped_count_max,stale_read_count_median,stale_read_count_iqr,stale_read_count_min,stale_read_count_max,stale_read_rate_median,stale_read_rate_iqr,stale_read_rate_min,stale_read_rate_max,hot_key_latency_median_us_median,hot_key_latency_median_us_iqr,hot_key_latency_median_us_min,hot_key_latency_median_us_max,cold_key_latency_median_us_median,cold_key_latency_median_us_iqr,cold_key_latency_median_us_min,cold_key_latency_median_us_max,missed,fd_algo,phi_threshold,workload_zipf_alpha
fd_slow_sync_repl,5,200,600,sync,crash,452.0,21.0,417.0,471.0,6.0,4.0,1.0,10.0,180.0,50.0,167.0,225.0,436.0999999999999,24.09999999999991,419.04999999999995,505.14999999999986,83.58874338255782,0.12815005952570857,83.37965536409116,83.79888268156425,0.0,0.0,0.0,0.0,161.0,11.0,145.0,165.0,253.0,10.0,238.0,265.0,0.8322368421052632,0.042502527238009735,0.793939393939394,0.865979381443299,184.0,49.0,174.0,229.0,180.0,48.0,165.0,223.0,3.0,fixed,8.0,0.0
phi_delay_fast_sync,5,50,150,sync,delay,64.0,28.0,36.0,100.0,11.0,514.0,0.0,518.0,205.0,64.0,190.0,259.5,460.04999999999995,184.04999999999995,430.04999999999995,630.1499999999999,78.21666014861165,0.43634188015454356,77.63975155279503,84.17508417508418,0.0,0.0,0.0,0.0,164.0,7.0,159.0,174.0,252.0,15.0,235.0,258.0,0.8372093023255814,0.04696466324373305,0.7654723127035831,0.840531561461794,209.0,66.0,193.0,269.0,207.0,64.0,189.0,259.0,3.0,phi,8.0,0.0
phi_delay_slow_async,5,200,600,async,delay,442.0,16.0,419.0,463.0,7.0,5.0,1.0,11.0,182.0,5.0,166.0,186.0,281.2999999999997,12.099999999999909,277.04999999999995,296.1999999999998,83.05647840531562,0.12627799066461876,82.41758241758241,83.22929671244279,0.0,0.0,0.0,0.0,169.0,16.0,150.0,173.0,243.0,18.0,239.0,273.0,0.8461538461538461,0.01717915946169457,0.8227848101265823,0.8639240506329114,185.5,20.0,166.0,196.0,183.0,4.0,166.0,184.5,3.0,phi,8.0,0.0
phi_fast_async_repl,5,50,150,async,crash,38.0,27.0,29.0,65.0,8.0,7.0,0.0,10.0,180.5,72.0,167.0,244.0,285.3499999999997,82.90000000000009,262.0999999999999,357.0,83.24084350721421,0.27747016270851077,82.89582757667864,83.70535714285714,0.0,0.0,0.0,0.0,173.0,20.0,154.0,186.0,243.0,35.0,223.0,269.0,0.823728813559322,0.040103600103600145,0.7663230240549829,0.8512658227848101,178.0,62.0,168.0,254.0,181.0,72.0,167.0,244.0,3.0,phi,8.0,0.0
phi_fast_no_repl,5,50,150,none,crash,61.0,12.0,41.0,102.0,3.0,4.0,2.0,11.0,178.0,55.5,167.0,230.5,264.04999999999995,52.049999999999955,253.0,318.0,83.95130824122009,0.24629508661240607,83.14855875831485,84.03361344537815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,12.0,237.0,270.0,0.8484848484848485,0.011309483857977032,0.823728813559322,0.8614864864864865,183.0,51.0,163.0,245.5,177.0,56.0,167.0,229.5,3.0,phi,8.0,0.0
phi_fast_sync_repl,5,50,150,sync,crash,37.0,25.0,29.0,109.0,4.0,8.0,2.0,12.0,222.0,54.5,180.5,246.0,573.8499999999992,136.14999999999986,424.0,609.1499999999999,82.930200414651,1.4015350399397022,81.81074447777475,84.3644544431946,0.0,0.0,0.0,0.0,179.0,24.0,158.0,194.0,249.0,13.0,229.0,273.0,0.8355704697986577,0.040442967884828374,0.8006993006993007,0.875,232.5,50.5,177.0,269.0,222.0,50.0,181.0,246.0,3.0,phi,8.0,0.0
phi_slow_no_repl,5,200,600,none,crash,438.0,14.0,407.0,446.0,2.0,1.0,0.0,3.0,164.5,8.0,156.5,178.0,276.04999999999995,26.049999999999955,249.0,289.04999999999995,83.43763037129746,0.15056762837686222,83.12551953449709,83.53055826256438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,25.0,238.0,275.0,0.8566978193146417,0.01867421471149122,0.8278145695364238,0.8785942492012779,160.0,1.5,154.5,167.0,165.0,8.0,156.0,178.5,3.0,phi,8.0,0.0
zipf_fast_async,5,50,150,async,crash,138.0,27.0,111.0,157.0,4.0,3.0,0.0,10.0,137.0,40.0,122.0,183.0,271.0,48.0,217.04999999999973,297.0,331.6291280917507,1.099174193863064,330.80634045485874,332.871012482663,0.0,0.0,0.0,0.0,663.0,25.0,648.0,686.0,959.0,45.0,923.0,968.0,0.7749790092359362,0.012822626094151524,0.7647058823529411,0.7889160554197229,136.0,39.0,122.0,182.0,138.5,40.0,122.0,184.0,3.0,fixed,8.0,0.99
zipf_fast_sync,5,50,150,sync,crash,124.0,25.5,104.0,146.0,2.0,1.0,1.0,3.0,190.0,50.0,121.0,201.0,532.1999999999989,87.04999999999973,398.0499999999997,631.0499999999997,331.49171270718233,1.4250796004643576,321.02728731942216,333.1482509716824,0.0,0.0,0.0,0.0,706.0,44.0,655.0,782.0,948.0,64.0,883.0,967.0,0.7746724890829695,0.009616731640474052,0.763855421686747,0.7793468667255075,192.0,51.0,122.5,203.0,187.0,49.5,120.0,200.0,3.0,fixed,8.0,0.99
zipf_phi_async,5,50,150,async,crash,48.0,13.0,41.0,84.0,2.0,5.0,0.0,8.0,128.0,4.0,127.0,132.0,226.04999999999973,12.0,216.0,285.0499999999997,331.26293995859214,0.2285833410289797,330.80634045485874,332.5942350332594,0.0,0.0,0.0,0.0,691.0,14.0,679.0,699.0,931.0,16.0,909.0,945.0,0.7827903091060986,0.02667869997920025,0.7606694560669456,0.7961246840775064,129.0,5.0,126.0,132.0,128.0,3.5,125.0,130.0,3.0,phi,8.0,0.99
zipf_phi_sync,5,50,150,sync,crash,70.0,35.0,32.0,116.0,1.0,1.0,1.0,4.0,147.0,13.0,113.0,155.0,397.0499999999997,26.950000000000273,387.0499999999997,432.0499999999997,332.6864430274466,2.165409903456066,331.21722329561135,334.77472450829964,0.0,0.0,0.0,0.0,668.0,20.0,632.0,700.0,932.0,32.0,910.0,981.0,0.7753562447611064,0.007151119785981264,0.7602339181286549,0.7889530090684254,148.0,14.0,111.0,153.0,145.0,13.0,114.0,156.0,3.0,phi,8.0,0.99
